login_name,login_type,login_create_date,last_active_date,server_roles,database,mapped_user_name,user_type,default_schema,db_roles,explicit_read,explicit_write,explicit_exec,explicit_admin,access_level,grant_counts,deny_counts
explicit_user_00,WINDOWS_LOGIN,2024-01-01 00:00:00,2026-04-05 00:00:00,,appdb (sql01),explicit_user_00,USER,dbo,,False,True,False,False,Write,,
explicit_user_01,WINDOWS_LOGIN,2024-01-01 00:00:00,2026-04-06 00:00:00,,appdb (sql01),explicit_user_01,USER,dbo,,False,True,False,False,Write,,
explicit_user_02,WINDOWS_LOGIN,2024-01-01 00:00:00,2026-04-06 00:00:00,,appdb (sql01),explicit_user_02,USER,dbo,,False,True,False,False,Write,,
explicit_user_03,WINDOWS_LOGIN,2024-01-01 00:00:00,2026-04-12 00:00:00,,appdb (sql01),explicit_user_03,USER,dbo,,False,True,False,False,Write,,
explicit_user_04,WINDOWS_LOGIN,2024-01-01 00:00:00,2026-04-10 00:00:00,,appdb (sql01),explicit_user_04,USER,dbo,,False,True,False,False,Write,,
explicit_user_05,WINDOWS_LOGIN,2024-01-01 00:00:00,2026-04-23 00:00:00,,appdb (sql01),explicit_user_05,USER,dbo,,False,True,False,False,Write,,
explicit_user_06,WINDOWS_LOGIN,2024-01-01 00:00:00,2026-04-03 00:00:00,,appdb (sql01),explicit_user_06,USER,dbo,,False,True,False,False,Write,,
explicit_user_07,WINDOWS_LOGIN,2024-01-01 00:00:00,2026-04-12 00:00:00,,appdb (sql01),explicit_user_07,USER,dbo,,False,True,False,False,Write,,
explicit_user_08,WINDOWS_LOGIN,2024-01-01 00:00:00,2026-04-19 00:00:00,,appdb (sql01),explicit_user_08,USER,dbo,,False,True,False,False,Write,,
explicit_user_09,WINDOWS_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),explicit_user_09,USER,dbo,,False,True,False,False,Write,,
explicit_user_10,WINDOWS_LOGIN,2024-01-01 00:00:00,2026-03-26 00:00:00,,appdb (sql01),explicit_user_10,USER,dbo,,False,True,False,False,Write,,
explicit_user_11,WINDOWS_LOGIN,2024-01-01 00:00:00,2026-03-27 00:00:00,,appdb (sql01),explicit_user_11,USER,dbo,,False,True,False,False,Write,,
explicit_user_12,WINDOWS_LOGIN,2024-01-01 00:00:00,2026-04-01 00:00:00,,appdb (sql01),explicit_user_12,USER,dbo,,False,True,False,False,Write,,
explicit_user_13,WINDOWS_LOGIN,2024-01-01 00:00:00,2026-03-28 00:00:00,,appdb (sql01),explicit_user_13,USER,dbo,,False,True,False,False,Write,,
explicit_user_14,WINDOWS_LOGIN,2024-01-01 00:00:00,2026-04-14 00:00:00,,appdb (sql01),explicit_user_14,USER,dbo,,False,True,False,False,Write,,
explicit_user_15,WINDOWS_LOGIN,2024-01-01 00:00:00,2026-04-07 00:00:00,,appdb (sql01),explicit_user_15,USER,dbo,,False,True,False,False,Write,,
explicit_user_16,WINDOWS_LOGIN,2024-01-01 00:00:00,2026-04-20 00:00:00,,appdb (sql01),explicit_user_16,USER,dbo,,False,True,False,False,Write,,
explicit_user_17,WINDOWS_LOGIN,2024-01-01 00:00:00,2026-04-24 00:00:00,,appdb (sql01),explicit_user_17,USER,dbo,,False,True,False,False,Write,,
explicit_user_18,WINDOWS_LOGIN,2024-01-01 00:00:00,2026-04-03 00:00:00,,appdb (sql01),explicit_user_18,USER,dbo,,False,True,False,False,Write,,
explicit_user_19,WINDOWS_LOGIN,2024-01-01 00:00:00,2026-04-19 00:00:00,,appdb (sql01),explicit_user_19,USER,dbo,,False,True,False,False,Write,,
